colony,treatment,initial.worker.number,num.workers.when.eggs.produced,days until eggs
1,hex,22,,
1,c27,22,21,31
1,z9c29,22,,
2,hex,12,12,22
2,c27,12,12,44
2,z9c29,12,,
3,hex,12,,
3,c27,12,12,33
3,z9c29,12,12,21
4,hex,17,17,16
4,c27,17,17,17
4,z9c29,17,17,32
5,hex,12,,
5,c27,12,,
5,z9c29,12,12,29
6,hex,17,16,17
6,c27,17,17,37
6,z9c29,17,17,30
7,hex,24,21,32
7,c27,24,23,20
7,z9c29,24,,
8,hex,34,34,28
8,c27,34,33,24
8,z9c29,34,34,31
9,hex,12,12,30
9,c27,12,11,29
9,z9c29,12,11,30
10,hex,30,30,20
10,c27,30,30,17
10,z9c29,30,30,18
11,hex,28,28,23
11,c27,28,28,22
11,z9c29,28,28,21
12,hex,26,26,10
12,c27,26,26,10
12,z9c29,26,26,10
13,hex,30,30,14
13,c27,30,30,15
13,z9c29,30,30,16